"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2024";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"253003 - AGENCIA NACIONAL DE SAUDE SUPLEMENTAR";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"112 - Taxas";"11210104 - TX.INSP,CONTROL.E FISCALIZ.-DIV.AT.-MUL.JUR.";"106.723,00";"14.728,70";"13,80%";"0,00";
"2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170010 - SECRET. ESPECIAL DA RECEITA FEDERAL DO BRASIL";"1 - Receitas Correntes";"12 - Contribuições";"121 - Contribuições sociais";"12150152 - CONTRIB.SENT.JUD.-SERV.CIVIL INATIVO-MUL.JUR.";"0,00";"0,00";"0,00%";"- 4,55";
"2024";"26000 - Ministério da Educação";"26427 - Instituto Federal da Bahia";"158145 - INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13110112 - ALUGUEIS E ARRENDAMENTOS-MULTAS E JUROS";"0,00";"291,64";"0,00%";"0,00";
"2024";"26000 - Ministério da Educação";"26244 - Universidade Federal do Rio Grande do Sul";"153114 - UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL";"1 - Receitas Correntes";"18 - Receitas Correntes - a classificar";"180 - Receitas Correntes - a classificar";"18000000 - Receitas Correntes - a classificar";"0,00";"0,00";"0,00%";"0,00";
"2024";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"344042 - FUNDACAO BIBLIOTECA NACIONAL";"1 - Receitas Correntes";"18 - Receitas Correntes - a classificar";"180 - Receitas Correntes - a classificar";"18000000 - Receitas Correntes - a classificar";"0,00";"0,00";"0,00%";"0,00";
"2024";"52000 - Ministério da Defesa";"52904 - Fundo do Exército";"167086 - FUNDO DO EXERCITO";"2 - Receitas de Capital";"22 - Alienação de Bens";"222 - Alienação de bens imóveis";"22210101 - ALIENACAO DE BENS IMOVEIS EM GERAL-PRINC.";"0,00";"138,25";"0,00%";"0,00";
"2024";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250088 - SPO-COORD.-GERAL DE FINAN. E CONTAB./MS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110102 - MULTAS PREVISTAS EM LEGISL.ESPECIFICA-MUL.JUR";"0,00";"1.474,94";"0,00%";"0,00";
"2024";"30000 - Ministério da Justiça e Segurança Pública";"30108 - Polícia Federal";"200336 - COORDENACAO DE ORCAMENTO FINANCAS CONTABILIDA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"193 - Bens, Direitos e Valores Incorporados ao Patrimônio Público";"19310702 - BENS,DIR.VAL.PERD.UNIAO-LAV.OCUL.BENS-MUL.JUR";"0,00";"57,12";"0,00%";"0,00";
"2024";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"393003 - DEPART.NAC.INFRA ESTRUTURA TRANSPORTES.";"1 - Receitas Correntes";"13 - Receita Patrimonial";"139 - Demais receitas patrimoniais";"13999901 - OUTRAS RECEITAS PATRIMONIAIS-PRINCIPAL";"0,00";"666,17";"0,00%";"0,00";
"2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"199 - Demais receitas correntes";"19999921 - OUTRAS REC.N.ARREC.N.PROJ.RFB-PRIM.-PRINC.";"0,00";"1.464,51";"0,00%";"0,00";
